"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","255","test_gsea_no_metric","packages.plot.tests","Sun Apr 19 10:50:54 UTC 2026","passed","Sun Apr 19 10:50:55 UTC 2026","","test_gsea","",""
"","388","test_gsea_no_border","packages.plot.tests","Sun Apr 19 10:50:55 UTC 2026","passed","Sun Apr 19 10:50:55 UTC 2026","","test_gsea","",""
"","3","test_fallback_to_default","packages.plot.tests","Sun Apr 19 10:50:53 UTC 2026","passed","Sun Apr 19 10:50:53 UTC 2026","","test_custom_theme","",""
"","5","test_result_summary_node_csv","packages.docking.tests","Sun Apr 19 10:50:48 UTC 2026","passed","Sun Apr 19 10:50:48 UTC 2026","","test_summary","",""
"","0","test_themes","packages.plot.tests","Sun Apr 19 10:51:12 UTC 2026","passed","Sun Apr 19 10:51:12 UTC 2026","","test_plot","",""
"","191","test_box_cli","packages.plot.tests","Sun Apr 19 10:50:53 UTC 2026","passed","Sun Apr 19 10:50:53 UTC 2026","","test_cli","",""
"","78","test_pie_cli","packages.plot.tests","Sun Apr 19 10:50:53 UTC 2026","passed","Sun Apr 19 10:50:53 UTC 2026","","test_cli","",""
"","5721","test_msa_plot","packages.plot.tests","Sun Apr 19 10:50:56 UTC 2026","passed","Sun Apr 19 10:51:02 UTC 2026","","test_msa_plot","",""
"测试 attach_plugins 将插件挂载到根命令","1","test_attach_plugins","packages.cli.tests","Sun Apr 19 10:49:43 UTC 2026","passed","Sun Apr 19 10:49:43 UTC 2026","","test_plugins","",""
"","160","test_volcano_cli_csv","packages.plot.tests","Sun Apr 19 10:50:52 UTC 2026","passed","Sun Apr 19 10:50:52 UTC 2026","","test_cli","",""
"","503","test_run_timeout","packages.core.tests","Sun Apr 19 10:49:44 UTC 2026","passed","Sun Apr 19 10:49:44 UTC 2026","","test_subprocess_new","",""
"","2817","test_msa_plot_theme_chart_specific_params","packages.plot.tests","Sun Apr 19 10:51:08 UTC 2026","passed","Sun Apr 19 10:51:10 UTC 2026","","test_msa_plot","",""
"","1","test_muscle_aligner","packages.msa.tests","Sun Apr 19 10:50:48 UTC 2026","passed","Sun Apr 19 10:50:48 UTC 2026","","test_msa","",""
"","1","test_load_theme_from_json","packages.plot.tests","Sun Apr 19 10:50:53 UTC 2026","passed","Sun Apr 19 10:50:53 UTC 2026","","test_custom_theme","",""
"","474","test_pca_plot_tidy","packages.plot.tests","Sun Apr 19 10:51:11 UTC 2026","passed","Sun Apr 19 10:51:11 UTC 2026","","test_pca","",""
